Name,a,ecc,T0,M0,H,A,Class
"163132 (2002 CU11)",1.22,0.30,57200,261.26,18.50,0.25,NEO
"163249 (2002 GT)",1.34,0.33,57200,70.21,18.40,0.25,NEO
"163364 (2002 OD20)",1.37,0.37,57200,143.83,18.80,0.25,NEO
"163373 (2002 PZ39)",1.47,0.55,57200,113.40,18.90,0.25,NEO
"163683 (2002 YP2)",1.58,0.69,57200,139.59,19.00,0.25,NEO
"163697 (2003 EF54)",1.61,0.47,57200,334.72,20.00,0.25,NEO
"163818 (2003 RX7)",1.23,0.35,57200,129.63,18.40,0.25,NEO
"164121 (2003 YT1)",1.11,0.29,57200,248.37,16.20,0.25,NEO
"164207 (2004 GU9)",1.00,0.14,57200,318.15,21.10,0.25,NEO
"164211 (2004 JA27)",1.67,0.42,57200,10.85,19.40,0.25,NEO
"164216 (2004 OT11)",2.15,0.57,57200,185.68,17.20,0.25,NEO
"164400 (2005 GN59)",1.66,0.47,57200,38.12,17.40,0.25,NEO
"168318 (1989 DA)",2.16,0.54,57200,108.97,18.90,0.25,NEO
"170086 (2002 XR14)",1.91,0.63,57200,236.04,18.00,0.25,NEO
"170903 (2004 WS2)",1.34,0.60,57200,258.95,18.10,0.25,NEO
"171576 (1999 VP11)",1.08,0.58,57200,27.81,18.50,0.25,NEO
"171839 (2001 JM1)",1.46,0.31,57200,21.05,19.10,0.25,NEO
"172678 (2003 YM137)",2.59,0.69,57200,244.53,18.70,0.25,NEO
"173561 (2000 YV137)",1.45,0.31,57200,206.86,18.30,0.25,NEO
"175706 (1996 FG3)",1.05,0.35,57200,176.18,18.40,0.25,NEO
"175729 (1998 BB10)",1.27,0.42,57200,103.95,20.30,0.25,NEO
"177049 (2003 EE16)",1.42,0.61,57200,179.55,19.70,0.25,NEO
"177614 (2004 HK33)",1.89,0.52,57200,83.26,17.50,0.25,NEO
"179806 (2002 TD66)",1.86,0.53,57200,337.20,20.20,0.25,NEO
"180186 (2003 QZ30)",2.42,0.63,57200,28.57,17.40,0.25,NEO
"184266 (2004 VW14)",2.12,0.60,57200,134.38,19.40,0.25,NEO
"185851 (2000 DP107)",1.37,0.38,57200,121.54,18.20,0.25,NEO
"186844 (2004 GA1)",2.43,0.67,57200,310.89,17.40,0.25,NEO
"187040 (2005 JS108)",1.36,0.32,57200,66.74,19.20,0.25,NEO
"189040 (2000 MU1)",1.37,0.38,57200,161.30,19.90,0.25,NEO
"189865 (2003 NC)",1.41,0.81,57200,104.65,19.40,0.25,NEO
"192559 (1998 VO)",1.07,0.23,57200,54.23,20.40,0.25,NEO
"192563 (1998 WZ6)",1.45,0.41,57200,111.21,17.30,0.25,NEO
"192642 (1999 RD32)",2.64,0.77,57200,265.60,16.30,0.25,NEO
"194006 (2001 SG10)",1.45,0.42,57200,352.79,20.30,0.25,NEO
"194268 (2001 UY4)",1.45,0.79,57200,320.88,18.20,0.25,NEO
"196068 (2002 TW55)",2.12,0.66,57200,77.42,18.00,0.25,NEO
"196625 (2003 RM10)",1.85,0.59,57200,272.22,20.20,0.25,NEO
"197588 (2004 HE12)",1.85,0.47,57200,172.62,17.20,0.25,NEO
"199145 (2005 YY128)",1.65,0.73,57200,119.82,18.20,0.25,NEO
"199801 (2007 AE12)",1.68,0.57,57200,35.63,19.50,0.25,NEO
"205744 (2002 BK25)",2.30,0.75,57200,281.83,18.10,0.25,NEO
"206378 (2003 RB)",1.79,0.44,57200,325.78,18.70,0.25,NEO
"206910 (2004 NL8)",2.57,0.72,57200,212.65,17.10,0.25,NEO
"207398 (2006 AS2)",2.09,0.64,57200,23.51,20.40,0.25,NEO
"207945 (1991 JW)",1.04,0.12,57200,168.33,19.50,0.25,NEO
"208115 (2000 CT101)",1.30,0.35,57200,176.26,20.70,0.25,NEO
"214869 (2007 PA8)",2.82,0.66,57200,195.30,16.40,0.25,NEO
"215588 (2003 HF2)",1.11,0.68,57200,224.53,19.40,0.25,NEO
"216115 (2006 SU19)",1.53,0.59,57200,116.72,18.80,0.25,NEO
"216258 (2006 WH1)",1.67,0.49,57200,316.38,20.20,0.25,NEO
"216985 (2000 QK130)",1.18,0.26,57200,265.69,20.90,0.25,NEO
"217430 (2005 SN25)",1.23,0.27,57200,184.67,19.60,0.25,NEO
"217628 Lugh (1990 HA)",2.55,0.70,57200,56.81,16.30,0.25,NEO
"220839 (2004 VA)",1.90,0.60,57200,342.46,17.30,0.25,NEO
"221455 (2006 BC10)",2.02,0.66,57200,51.28,19.40,0.25,NEO
"221980 (1996 EO)",1.34,0.40,57200,216.67,19.00,0.25,NEO
"226514 (2003 UX34)",1.10,0.62,57200,197.25,20.00,0.25,NEO
"226554 (2003 WR21)",1.12,0.26,57200,170.42,19.50,0.25,NEO
"228368 (2000 WK10)",1.48,0.70,57200,87.47,18.40,0.25,NEO
"230549 (2003 BH)",1.46,0.36,57200,52.02,20.60,0.25,NEO
"231937 (2001 FO32)",1.70,0.83,57200,130.77,17.70,0.25,NEO
