Star ,RA,Dec,Vmag,Bmag,Umag
 9405,  -8.776,  -3.010,18.892,19.398,19.273
 9409,   4.039, -16.025,18.231,18.879,18.908
 9440, -12.204,   0.338,18.818,19.365,19.282
 9452,  -1.091, -11.020,15.549,16.398,16.646
 9470,  -9.307,  -2.746,16.448,16.479,16.635
 9491,  -9.051,  -3.091,18.891,19.439,19.327
 9494, -15.341,   3.359,18.938,19.427,19.294
 9496, -13.123,   1.072,17.864,18.514,18.551
 9499,  -2.220, -10.059,18.380,19.021,18.997
 9503,  -7.452,  -4.753,18.834,19.365,19.689
 9505,  -3.908,  -8.368,18.768,19.051,19.261
 9515, -10.340,  -1.870,18.946,19.572,19.453
 9526, -14.088,   1.915,17.747,18.420,18.427
 9528, -16.567,   4.452,15.704,16.517,16.772
 9536, -16.662,   4.521,18.917,19.394,19.331
 9537,  -8.556,  -3.805,18.999,19.646,19.458
 9543,  -8.985,  -3.379,18.688,19.242,19.134
 9544,  -6.260,  -6.166,18.942,19.448,19.278
 9546,  -1.976, -10.523,17.485,18.170,18.196
 9551,  -4.079,  -8.407,18.607,19.188,19.081
 9554,  -1.200, -11.331,18.112,18.733,18.627
 9557, -11.172,  -1.189,18.696,19.135,19.062
 9559,  -5.996,  -6.494,16.908,17.658,17.709
 9561,  -6.463,  -6.030,18.970,19.404,19.342
 9579,   2.483, -15.139,18.976,19.447,19.368
 9587,  -9.713,  -2.801,16.719,16.768,16.649
 9591, -13.378,   0.927,18.548,19.174,19.078
 9592, -10.363,  -2.170,17.224,17.924,17.923
 9608,  -5.866,  -6.817,18.951,19.611,19.571
 9623,  -7.888,  -4.821,18.931,19.484,19.399
 9635,  -8.436,  -4.288,18.614,19.162,19.103
 9643,  -1.220, -11.668,18.416,19.128,18.892
 9648, -10.236,  -2.524,17.806,18.481,18.419
 9655, -17.294,   4.668,18.878,19.404,19.160
 9662,  -4.351,  -8.619,18.125,18.313,18.481
 9667, -18.001,   5.344,18.908,19.325,19.296
 9699,  -4.391,  -8.706,18.350,19.055,18.985
 9702,  -4.246,  -8.867,18.956,19.346,19.374
 9714, -16.585,   3.726,16.342,17.087,17.160
 9715,  -2.555, -10.623,18.551,19.171,19.047
 9738,  -8.289,  -4.888,18.803,19.315,19.232
 9753,  -9.378,  -3.840,18.035,18.707,18.624
 9754,  -1.383, -11.969,18.673,19.248,19.149
 9762, -11.197,  -2.011,18.900,19.362,19.247
 9771,  -3.455,  -9.918,17.229,17.952,18.010
 9780, -10.392,  -2.888,18.630,19.142,18.933
 9781,   1.227, -14.694,18.811,19.413,19.335
