Name,H,A
"  1764 Cogshall (1953 VM1)",11.3,0.0852
"  1765 Wrubel (1957 XB)",9.92,0.1061
"  1768 Appenzella (1965 SA)",12.70,0.0338
"  1771 Makover (1968 BD)",10.3,0.0501
"  1776 Kuiper (2520 P-L)",11.2,0.0544
"  1780 Kippes (A906 RA)",10.68,0.1212
"  1783 Albitskij (1935 FJ)",11.9,0.0738
"  1784 Benguella (1935 MG)",12.1,0.0763
"  1791 Patsayev (1967 RE)",11.80,0.0509
"  1794 Finsen (1970 GA)",11.08,0.0469
"  1795 Woltjer (4010 P-L)",11.9,0.0459
"  1799 Koussevitzky (1950 OE)",11.3,0.1426
"  1801 Titicaca (1952 SP1)",11.1,0.1309
"  1805 Dirikis (1970 GD)",11.3,0.1065
"  1808 Bellerophon (2517 P-L)",12.0,0.1076
"  1812 Gilgamesh (4645 P-L)",11.5,0.1450
"  1813 Imhotep (7589 P-L)",11.9,0.0662
"  1815 Beethoven (1932 CE1)",11.36,0.0548
"  1817 Katanga (1939 MB)",11.0,0.1331
"  1819 Laputa (1948 PC)",10.3,0.0614
"  1826 Miller (1955 RC1)",11.1,0.1294
"  1828 Kashirina (1966 PH)",11.3,0.0995
"  1843 Jarmila (1972 AB)",11.8,0.0611
"  1846 Bengt (6553 P-L)",13.7,0.0781
"  1847 Stobbe (A916 CA)",11.2,0.1231
"  1851 Lacroute (1950 VA)",12.6,0.0745
"  1852 Carpenter (1955 GA)",11.3,0.1224
"  1853 McElroy (1957 XE)",10.8,0.2494
"  1878 Hughes (1933 QC)",11.7,0.1399
"  1880 McCrosky (1940 AN)",11.9,0.1025
"  1884 Skip (1943 EB1)",12.1,0.2934
"  1889 Pakhmutova (1968 BE)",11.0,0.0752
"  1895 Larink (1971 UZ)",12.1,0.1099
"  1903 Adzhimushkaj (1972 JL)",10.6,0.0837
"  1904 Massevitch (1972 JM)",11.1,0.1613
"  1908 Pobeda (1972 RL2)",11.1,0.0779
"  1909 Alekhin (1972 RW2)",12.7,0.0700
"  1923 Osiris (4011 P-L)",13.5,0.0591
"  1924 Horus (4023 P-L)",13.4,0.0888
"  1930 Lucifer (1964 UA)",11.0,0.1058
"  1934 Jeffers (1972 XB)",12.4,0.3216
"  1936 Lugano (1973 WD)",11.7,0.1042
"  1937 Locarno (1973 YA)",11.6,0.1786
"  1939 Loretta (1974 UC)",11.0,0.0942
"  1940 Whipple (1975 CA)",11.1,0.0613
"  1942 Jablunka (1972 SA)",13.00,0.0567
"  1947 Iso-Heikkila (1935 EA)",11.4,0.0976
"  1952 Hesburgh (1951 JC)",10.32,0.1041
"  1958 Chandra (1970 SB)",11.1,0.0801
"  1960 Guisan (1973 UA)",11.93,0.0496
"  1961 Dufour (1973 WA)",10.7,0.0402
"  1963 Bezovec (1975 CB)",10.91,0.0383
"  1969 Alain (1935 CG)",11.8,0.0682
"  1970 Sumeria (1954 ER)",12.3,0.0585
"  1984 Fedynskij (1926 TN)",11.10,0.0445
"  1985 Hopmann (1929 AE)",10.80,0.0671
"  1994 Shane (1961 TE)",12.2,0.0640
"  1997 Leverrier (1963 RC)",13.2,0.1662
"  1999 Hirayama (1973 DR)",10.9,0.0882
"  2002 Euler (1973 QQ1)",12.3,0.0839
"  2007 McCuskey (1963 SQ)",12.0,0.0703
"  2009 Voloshina (1968 UL)",11.2,0.0698
"  2016 Heinemann (1938 SE)",11.8,0.1019
"  2020 Ukko (1936 FR)",11.2,0.1051
"  2025 Nortia (1953 LG)",10.6,0.0689
"  2032 Ethel (1970 OH)",11.3,0.0233
"  2038 Bistro (1973 WF)",11.9,0.1342
"  2039 Payne-Gaposchkin (1974 CA)",12.6,0.0253
"  2041 Lancelot (2523 P-L)",12.5,0.1303
"  2043 Ortutay (1936 TH)",10.7,0.0423
"  2052 Tamriko (1976 UN)",10.48,0.1225
"  2054 Gawain (4097 P-L)",12.5,0.0697
"  2057 Rosemary (1934 RQ)",12.4,0.1185
"  2058 Roka (1938 BH)",11.4,0.1542
"  2066 Palala (1934 LB)",12.6,0.0491
"  2068 Dangreen (1948 AD)",11.1,0.0393
"  2069 Hubble (1955 FT)",11.2,0.0538
"  2081 Sazava (1976 DH)",12.14,0.0479
"  2084 Okayama (1935 CK)",12.1,0.0621
"  2091 Sampo (1941 HO)",10.4,0.1582
"  2094 Magnitka (1971 TC2)",11.9,0.1739
"  2103 Laverna (1960 FL)",10.80,0.1625
"  2105 Gudy (1976 DA)",11.2,0.1078
"  2107 Ilmari (1941 VA)",11.40,0.1992
"  2108 Otto Schmidt (1948 TR1)",12.1,0.1215
"  2111 Tselina (1969 LG)",10.45,0.1938
"  2115 Irakli (1976 UD)",11.00,0.1585
"  2116 Mtskheta (1976 UM)",12.3,0.0648
"  2120 Tyumenia (1967 RM)",10.9,0.0721
"  2123 Vltava (1973 SL2)",11.50,0.2135
"  2125 Karl-Ontjes (2005 P-L)",11.9,0.1033
"  2132 Zhukov (1975 TW3)",11.40,0.0593
"  2137 Priscilla (1936 QZ)",11.0,0.0382
"  2138 Swissair (1968 HB)",11.4,0.1741
"  2140 Kemerovo (1970 PE)",11.3,0.0887
"  2147 Kharadze (1976 US)",11.9,0.0439
"  2152 Hannibal (1978 WK)",10.7,0.0508
"  2153 Akiyama (1978 XD)",11.90,0.1089
"  2169 Taiwan (1964 VP1)",12.5,0.0991
"  2171 Kiev (1973 QD1)",12.6,0.0774
"  2177 Oliver (6551 P-L)",11.8,0.1279
"  2179 Platzeck (1965 MA)",11.1,0.1149
"  2182 Semirot (1953 FH1)",11.5,0.0845
"  2183 Neufang (1959 OB)",11.7,0.0472
"  2184 Fujian (1964 TV2)",11.50,0.0642
"  2185 Guangdong (1965 WO)",11.30,0.1840
"  2191 Uppsala (1977 PA1)",11.1,0.1734
"  2192 Pyatigoriya (1972 HP)",11.5,0.0535
"  2197 Shanghai (1965 YN)",11.4,0.1170
"  2209 Tianjin (1978 US1)",11.0,0.2854
"  2214 Carol (1953 GF)",11.8,0.0440
"  2215 Sichuan (1964 VX2)",11.6,0.1398
"  2217 Eltigen (1971 SK2)",11.3,0.1242
"  2218 Wotho (1975 AK)",11.1,0.0673
"  2219 Mannucci (1975 LU)",11.0,0.0594
"  2222 Lermontov (1977 ST1)",11.2,0.0761
"  2224 Tucson (2528 P-L)",11.9,0.1242
"  2237 Melnikov (1938 TB)",11.9,0.1265
"  2238 Steshenko (1972 RQ1)",12.4,0.0937
"  2240 Tsai (1978 YA)",11.80,0.0544
"  2245 Hekatostos (1968 BC)",11.6,0.0622
"  2248 Kanda (1933 DE)",11.20,0.0930
"  2249 Yamamoto (1942 GA)",11.1,0.0352
"  2251 Tikhov (1977 SU1)",11.5,0.0697
"  2255 Qinghai (1977 VK1)",11.6,0.1018
"  2258 Viipuri (1939 TA)",11.8,0.0883
"  2259 Sofievka (1971 OG)",12.4,0.0365
"  2263 Shaanxi (1978 UW1)",11.2,0.1803
"  2264 Sabrina (1979 YK)",10.7,0.1472
"  2269 Efremiana (1976 JA2)",11.0,0.2123
"  2271 Kiso (1976 UV5)",10.9,0.0612
"  2279 Barto (1968 DL)",12.97,0.0475
"  2291 Kevo (1941 FS)",10.7,0.0708
"  2295 Matusovskij (1977 QD1)",11.8,0.0632
"  2297 Daghestan (1978 RE)",11.2,0.1057
"  2304 Slavia (1979 KB)",12.1,0.1372
"  2306 Bauschinger (1939 PM)",12.1,0.1076
"  2307 Garuda (1957 HJ)",11.0,0.0454
"  2308 Schilt (1967 JM)",11.80,0.1094
"  2309 Mr. Spock (1971 QX1)",11.30,0.1177
"  2310 Olshaniya (1974 SU4)",11.6,0.0498
"  2313 Aruna (1976 TA)",12.90,0.0506
"  2315 Czechoslovakia (1980 DZ)",10.6,0.1686
"  2320 Blarney (1979 QJ)",10.4,0.0740
"  2321 Luznice (1980 DB1)",11.9,0.1421
"  2322 Kitt Peak (1954 UQ2)",13.0,0.0571
"  2326 Tololo (1965 QC)",10.8,0.0384
"  2328 Robeson (1972 HW)",12.8,0.1281
"  2330 Ontake (1977 DS3)",11.5,0.0488
"  2332 Kalm (1940 GH)",10.9,0.1162
"  2333 Porthan (1943 EP)",11.8,0.0952
"  2345 Fucik (1974 OS)",10.80,0.1192
"  2349 Kurchenko (1970 OG)",11.3,0.0663
"  2355 Nei Monggol (1978 UV1)",11.6,0.1692
"  2364 Seillier (1978 GD)",11.2,0.2747
"  2370 van Altena (1965 LA)",12.8,0.0899
"  2372 Proskurin (1977 RA8)",11.7,0.0780
"  2378 Pannekoek (1935 CY)",10.9,0.0891
"  2379 Heiskanen (1941 ST)",10.90,0.0772
"  2381 Landi (1976 AF)",11.6,0.3358
"  2386 Nikonov (1974 SN1)",11.6,0.1456
"  2390 Nezarka (1980 PA1)",12.1,0.0450
"  2394 Nadeev (1973 SZ2)",11.8,0.0209
"  2408 Astapovich (1978 QK1)",11.9,0.0407
"  2413 van de Hulst (6816 P-L)",11.3,0.1624
"  2414 Vibeke (1931 UG)",11.4,0.0369
"  2426 Simonov (1976 KV)",11.5,0.0842
"  2428 Kamenyar (1977 RZ6)",11.4,0.0864
"  2439 Ulugbek (1977 QX2)",11.7,0.1065
"  2441 Hibbs (1979 MN2)",13.8,0.0494
"  2443 Tomeileen (A906 BJ)",10.1,0.1541
"  2448 Sholokhov (1975 BU)",10.7,0.1337
"  2450 Ioannisiani (1978 RP)",11.6,0.0621
"  2453 Wabash (A921 SA)",11.2,0.0860
"  2458 Veniakaverin (1977 RC7)",11.9,0.0584
"  2459 Spellmann (1980 LB1)",11.3,0.0500
"  2461 Clavel (1981 EC1)",11.6,0.0835
"  2463 Sterpin (1934 FF)",11.7,0.2831
"  2464 Nordenskiold (1939 BF)",11.8,0.1496
"  2465 Wilson (1949 PK)",12.2,0.0706
"  2466 Golson (1959 RJ)",12.0,0.0611
"  2474 Ruby (1979 PB)",11.6,0.1064
"  2476 Andersen (1976 JF2)",11.1,0.1696
"  2490 Bussolini (1976 AG)",11.8,0.2268
"  2492 Kutuzov (1977 NT)",11.4,0.0975
"  2494 Inge (1981 LF)",10.7,0.0329
"  2502 Nummela (1943 EO)",11.5,0.1349
"  2512 Tavastia (1940 GG)",12.5,0.1057
"  2513 Baetsle (1950 SH)",13.2,0.0278
"  2522 Triglav (1980 PP)",11.3,0.0964
"  2523 Ryba (1980 PV)",11.2,0.1183
"  2524 Budovicium (1981 QB1)",11.1,0.0783
"  2531 Cambridge (1980 LD)",10.8,0.2104
"  2534 Houzeau (1931 VD)",11.3,0.0794
"  2542 Calpurnia (1980 CF)",11.5,0.0639
"  2544 Gubarev (1980 PS)",12.0,0.2430
"  2546 Libitina (1950 FC)",11.7,0.1188
"  2559 Svoboda (1981 UH)",12.3,0.0297
"  2562 Chaliapin (1973 FF1)",11.4,0.1232
"  2563 Boyarchuk (1977 FZ)",11.6,0.0614
"  2569 Madeline (1980 MA)",10.9,0.0741
"  2570 Porphyro (1980 PG)",12.1,0.0297
"  2595 Gudiachvili (1979 KL)",12.2,0.0223
"  2601 Bologna (1980 XA)",11.4,0.1626
"  2604 Marshak (1972 LD1)",12.8,0.0552
"  2613 Plzen (1979 QE)",11.4,0.0737
"  2615 Saito (1951 RJ)",12.4,0.0390
"  2617 Jiangxi (1975 WO1)",10.3,0.0441
"  2621 Goto (1981 CA)",10.9,0.0428
"  2632 Guizhou (1980 VJ1)",11.5,0.0576
"  2645 Daphne Plane (1976 QD)",12.0,0.0875
"  2646 Abetti (1977 EC1)",11.3,0.0808
"  2654 Ristenpart (1968 OG)",12.8,0.0419
"  2659 Millis (1981 JX)",11.6,0.0549
"  2660 Wasserman (1982 FG)",11.9,0.2384
"  2664 Everhart (1934 RR)",13.9,0.0452
"  2672 Pisek (1979 KC)",12.2,0.0907
"  2677 Joan (1935 FF)",11.4,0.0955
"  2687 Tortali (1982 HG)",11.89,0.2170
"  2690 Ristiina (1938 DG1)",11.2,0.1585
"  2695 Christabel (1979 UE)",11.9,0.0995
"  2696 Magion (1980 HB)",12.1,0.0687
"  2707 Ueferji (1981 QS3)",11.60,0.0578
"  2715 Mielikki (1938 US)",11.3,0.1791
"  2718 Handley (1951 OM)",11.70,0.0547
"  2724 Orlov (1978 RZ5)",11.4,0.0947
"  2725 David Bender (1978 VG3)",10.7,0.0759
"  2728 Yatskiv (1979 ST9)",12.6,0.0804
"  2729 Urumqi (1979 UA2)",11.4,0.1353
"  2731 Cucula (1982 KJ)",10.8,0.0358
"  2734 Hasek (1976 GJ3)",11.6,0.0958
"  2739 Taguacipa (1952 UZ1)",13.2,0.0731
"  2740 Tsoj (1974 SY4)",11.4,0.0805
"  2747 Cesky Krumlov (1980 DW)",11.7,0.0380
"  2753 Duncan (1966 DH)",12.30,0.0660
"  2757 Crisser (1977 VN)",11.8,0.1423
"  2774 Tenojoki (1942 TJ)",11.2,0.0506
"  2793 Valdaj (1977 QV)",11.3,0.1100
"  2804 Yrjo (1941 HF)",11.2,0.0708
"  2813 Zappala (1981 WZ)",10.8,0.0663
"  2816 Pien (1982 SO)",11.8,0.0769
"  2819 Ensor (1933 UR)",11.9,0.1928
"  2829 Bobhope (1948 PK)",10.7,0.0916
"  2835 Ryoma (1982 WF)",12.0,0.0404
"  2843 Yeti (1975 XQ)",12.9,0.1030
"  2849 Shklovskij (1976 GN3)",12.9,0.0642
"  2856 Roser (1933 GB)",11.00,0.1223
"  2864 Soderblom (1983 AZ)",12.9,0.0632
"  2865 Laurel (1935 OK)",11.3,0.2242
"  2872 Gentelec (1981 RU)",12.1,0.0900
"  2879 Shimizu (1932 CB1)",11.9,0.0463
"  2892 Filipenko (1983 AX2)",10.20,0.0466
"  2904 Millman (1981 YB)",11.60,0.1421
"  2906 Caltech (1983 AE2)",10.00,0.0526
"  2908 Shimoyama (1981 WA)",11.7,0.0514
"  2909 Hoshi-no-ie (1983 JA)",11.1,0.1671
"  2933 Amber (1983 HN)",11.70,0.0869
"  2934 Aristophanes (4006 P-L)",11.6,0.0761
"  2945 Zanstra (1935 ST1)",12.5,0.0522
"  2950 Rousseau (1974 VQ2)",11.7,0.1728
"  2951 Perepadin (1977 RB8)",10.1,0.0735
"  2952 Lilliputia (1979 SF2)",14.1,0.0505
"  2957 Tatsuo (1934 CB1)",10.8,0.2235
"  2965 Surikov (1975 BX)",12.4,0.0857
"  2967 Vladisvyat (1977 SS1)",11.00,0.0721
"  2979 Murmansk (1978 TB7)",12.4,0.0379
"  2983 Poltava (1981 RW2)",11.3,0.0614
"  2986 Mrinalini (2525 P-L)",12.0,0.0729
"  2987 Sarabhai (4583 P-L)",12.3,0.0791
"  2989 Imago (1976 UF1)",12.9,0.0595
"  2993 Wendy (1970 PA)",12.0,0.1876
"  2995 Taratuta (1978 QK)",12.1,0.0704
"  2996 Bowman (1954 RJ)",12.0,0.0689
"  3003 Koncek (1983 YH)",11.1,0.0852
"  3006 Livadia (1979 SF11)",13.9,0.0803
"  3009 Coventry (1973 SM2)",13.7,0.1096
"  3013 Dobrovoleva (1979 SD7)",13.7,0.0696
"  3017 Petrovic (1981 UL)",11.6,0.1912
"  3026 Sarastro (1977 TA1)",11.6,0.0986
"  3027 Shavarsh (1978 PQ2)",13.2,0.0585
"  3028 Zhangguoxi (1978 TA2)",10.7,0.1417
"  3032 Evans (1984 CA1)",11.5,0.0923
"  3037 Alku (1944 BA)",11.7,0.1131
"  3044 Saltykov (1983 RE3)",11.8,0.0594
"  3046 Moliere (4120 P-L)",12.4,0.0562
"  3051 Nantong (1974 YP)",12.3,0.0752
"  3052 Herzen (1976 YJ3)",13.5,0.0441
"  3054 Strugatskia (1977 RE7)",11.6,0.0845
"  3056 INAG (1978 VD1)",12.5,0.0408
"  3062 Wren (1982 XC)",10.7,0.1357
"  3078 Horrocks (1984 FG)",11.4,0.0452
"  3082 Dzhalil (1972 KE)",12.6,0.0766
"  3089 Oujianquan (1981 XK2)",11.1,0.0618
"  3094 Chukokkala (1979 FE2)",11.9,0.0555
"  3104 Durer (1982 BB1)",10.6,0.1858
"  3109 Machin (1974 DC)",12.0,0.0769
"  3115 Baily (1981 PL)",11.0,0.1639
"  3118 Claytonsmith (1974 OD)",10.90,0.0714
"  3132 Landgraf (1940 WL)",11.6,0.0564
"  3139 Shantou (1980 VL1)",10.7,0.0598
"  3140 Stellafane (1983 AO)",10.8,0.1259
"  3150 Tosa (1983 CB)",11.1,0.0875
"  3152 Jones (1983 LF)",11.8,0.0485
"  3156 Ellington (1953 EE)",11.5,0.0698
"  3157 Novikov (1973 SX3)",11.50,0.0500
"  3161 Beadell (1980 TB5)",12.4,0.1629
"  3164 Prast (6562 P-L)",12.2,0.0843
"  3167 Babcock (1955 RS)",11.2,0.3233
"  3168 Lomnicky Stit (1980 XM)",11.80,0.0535
"  3176 Paolicchi (1980 VR1)",11.1,0.0669
"  3197 Weissman (1981 AD)",11.4,0.0790
"  3222 Liller (1983 NJ)",11.40,0.0543
"  3223 Forsius (1942 RN)",11.2,0.1365
"  3224 Irkutsk (1977 RL6)",11.4,0.0551
"  3230 Vampilov (1972 LE)",11.8,0.0423
"  3237 Victorplatt (1984 SA5)",10.5,0.1513
"  3247 Di Martino (1981 YE)",13.0,0.0647
"  3256 Daguerre (1981 SJ1)",12.40,0.0326
"  3264 Bounty (1934 AF)",12.20,0.0534
"  3283 Skorina (1979 QA10)",12.6,0.0918
"  3285 Ruth Wolfe (1983 VW1)",12.1,0.2857
"  3298 Massandra (1979 OB15)",13.6,0.0565
"  3307 Athabasca (1981 DE1)",13.8,0.0441
"  3311 Podobed (1976 QM1)",12.2,0.0442
"  3318 Blixen (1985 HB)",10.8,0.1275
"  3324 Avsyuk (1983 CW1)",11.8,0.1109
"  3325 TARDIS (1984 JZ)",11.3,0.0553
"  3326 Agafonikov (1985 FL)",13.1,0.0404
"  3338 Richter (1973 UX5)",14.2,0.1
"  3339 Treshnikov (1978 LB)",11.10,0.0601
"  3345 Tarkovskij (1982 YC1)",11.8,0.0688
"  3346 Gerla (1951 SD)",10.7,0.0549
"  3379 Oishi (1931 TJ1)",13.1,0.0386
"  3389 Sinzot (1984 DU)",12.5,0.0606
"  3405 Daiwensai (1964 UQ)",12.0,0.0470
"  3406 Omsk (1969 DA)",11.7,0.2476
"  3418 Izvekov (1973 QZ1)",12.3,0.0457
"  3425 Hurukawa (1929 BD)",10.9,0.1315
"  3442 Yashin (1978 TO7)",11.5,0.0674
"  3445 Pinson (1983 FC)",12.5,0.0738
"  3461 Mandelshtam (1977 SA1)",13.1,0.0305
"  3467 Bernheim (1981 SF2)",13.2,0.0448
"  3470 Yaronika (1975 ES)",13.10,0.0620
"  3471 Amelin (1977 QK2)",11.4,0.0609
"  3475 Fichte (1972 TD)",11.4,0.0897
"  3476 Dongguan (1978 UF2)",11.6,0.0309
"  3478 Fanale (1979 XG)",12.6,0.0600
"  3485 Barucci (1983 NU)",12.8,0.0858
"  3501 Olegiya (1971 QU)",11.7,0.0935
"  3522 Becker (1941 SW)",12.2,0.0192
"  3526 Jeffbell (1984 CN)",12.3,0.0418
"  3532 Tracie (1983 AS2)",11.9,0.0948
"  3560 Chenqian (1980 RZ2)",10.9,0.1245
"  3570 Wuyeesun (1979 XO)",11.1,0.1687
"  3584 Aisha (1981 TW)",12.1,0.0397
"  3587 Descartes (1981 RK5)",12.6,0.0610
"  3591 Vladimirskij (1978 QJ2)",12.1,0.1138
"  3598 Saucier (1977 KK1)",12.1,0.0584
"  3614 Tumilty (1983 AE1)",10.5,0.0274
"  3630 Lubomir (1984 QN)",12.6,0.0535
"  3631 Sigyn (1987 BV1)",11.0,0.0901
"  3637 O''Meara (1984 UQ)",11.6,0.1488
"  3641 Williams Bay (A922 WC)",11.40,0.0489
"  3642 Frieden (1953 XL1)",11.1,0.0475
"  3647 Dermott (1986 AD1)",11.5,0.0517
"  3650 Kunming (1978 UO2)",11.6,0.0386
"  3666 Holman (1979 HP)",12.2,0.0592
"  3682 Welther (A923 NB)",11.7,0.1189
"  3684 Berry (1983 AK)",13.8,0.0504
"  3685 Derdenye (1981 EH14)",13.30,0.0817
"  3686 Antoku (1987 EB)",12.3,0.0680
"  3687 Dzus (A908 TC)",11.4,0.0542
"  3693 Barringer (1982 RU)",11.6,0.0603
"  3702 Trubetskaya (1970 NB)",11.5,0.1369
"  3714 Kenrussell (1983 TT1)",12.6,0.1078
"  3724 Annenskij (1979 YN8)",11.6,0.2022
"  3728 IRAS (1983 QF)",11.9,0.1161
"  3730 Hurban (1983 XM1)",11.7,0.0484
"  3744 Horn-d''Arturo (1983 VE)",12.9,0.0540
"  3747 Belinskij (1975 VY5)",10.8,0.0898
"  3751 Kiang (1983 NK)",11.6,0.0794
"  3754 Kathleen (1931 FM)",10.3,0.0624
"  3759 Piironen (1984 AP)",11.8,0.0297
"  3772 Piaf (1982 UR7)",11.2,0.0870
"  3776 Vartiovuori (1938 GG)",10.8,0.2229
"  3781 Dufek (1986 RG1)",12.3,0.0578
"  3784 Chopin (1986 UL1)",11.3,0.0864
"  3799 Novgorod (1979 SL9)",12.1,0.1003
"  3803 Tuchkova (1981 TP1)",11.1,0.0425
"  3805 Goldreich (1981 DK3)",12.6,0.1165
"  3812 Lidaksum (1965 AK1)",11.3,0.0318
"  3815 Konig (1959 GG)",12.2,0.0360
"  3818 Gorlitsa (1979 QL8)",14.0,0.0356
"  3829 Gunma (1988 EM)",12.0,0.0393
"  3839 Bogaevskij (1971 OU)",13.0,0.1378
"  3846 Hazel (1980 TK5)",12.0,0.0753
"  3855 Pasasymphonia (1986 NF1)",13.0,0.2569
"  3872 Akirafujii (1983 AV)",12.5,0.0583
"  3876 Quaide (1988 KJ)",11.4,0.1111
"  3895 Earhart (1987 DE)",11.8,0.1228
"  3899 Wichterle (1982 SN1)",11.4,0.1037
"  3901 Nanjingdaxue (1958 GQ)",12.4,0.0419
"  3906 Chao (1987 KE1)",10.4,0.0381
"  3911 Otomo (1940 QB)",11.4,0.1937
"  3915 Fukushima (1988 PA1)",12.2,0.0561
"  3922 Heather (1971 SP3)",12.7,0.0438
"  3925 Tret''yakov (1977 SS2)",11.0,0.0440
"  3932 Edshay (1984 SC5)",11.7,0.1859
"  3935 Toatenmongakkai (1987 PB)",11.9,0.1962
"  3939 Huruhata (1953 GO)",11.3,0.0524
"  3945 Gerasimenko (1982 PL)",12.4,0.0395
"  3957 Sugie (1933 OD)",12.50,0.0321
"  3961 Arthurcox (1962 OB)",12.0,0.2012
"  3970 Herran (1979 ME9)",12.2,0.1117
"  3971 Voronikhin (1979 YM8)",11.3,0.0392
"  3976 Lise (1983 JM)",11.60,0.0585
"  3978 Klepesta (1983 VP1)",11.7,0.0518
"  3979 Brorsen (1983 VV1)",11.9,0.1003
"  3981 Stodola (1984 BL)",11.90,0.0603
"  3983 Sakiko (1984 SX)",12.8,0.0721
"  3987 Wujek (1986 EL1)",12.0,0.0539
"  3994 Ayashi (1988 XF)",12.70,0.0782
"  3999 Aristarchus (1989 AL)",12.6,0.0589
"  4002 Shinagawa (1950 JB)",11.6,0.2021
"  4006 Sandler (1972 YR)",12.6,0.0669
"  4009 Drobyshevskij (1977 EN1)",12.50,0.0542
"  4049 Noragal'' (1973 QD2)",12.3,0.0859
"  4061 Martelli (1988 FF3)",12.1,0.0930
"  4093 Bennett (1986 VD)",12.2,0.0601
"  4103 Chahine (1989 EB)",11.3,0.3477
"  4107 Rufino (1989 GT)",12.1,0.3179
"  4110 Keats (1977 CZ)",11.8,0.0633
"  4112 Hrabal (1981 ST)",11.0,0.0226
"  4121 Carlin (1986 JH)",12.6,0.4164
"  4124 Herriot (1986 SE)",12.4,0.0452
"  4131 Stasik (1988 DR4)",11.6,0.0501
"  4132 Bartok (1988 EH)",12.0,0.3308
"  4140 Branham (1976 VA)",11.2,0.0637
"  4141 Nintanlena (1978 PG3)",12.9,0.0723
"  4144 Vladvasil''ev (1981 SW6)",11.8,0.0666
"  4146 Rudolfinum (1982 DD2)",13.5,0.0469
"  4152 Weber (1985 JF)",11.9,0.0585
"  4157 Izu (1988 XD2)",12.3,0.0695
"  4159 Freeman (1989 GK)",11.1,0.2822
"  4162 SAF (1940 WA)",11.6,0.0620
"  4176 Sudek (1987 DS)",11.90,0.0341
"  4186 Tamashima (1977 DT1)",11.3,0.0600
"  4194 Sweitzer (1982 RE)",12.1,0.0823
"  4201 Orosz (1984 JA1)",11.5,0.0726
"  4209 Briggs (1986 TG4)",11.3,0.1288
"  4211 Rosniblett (1987 RT)",11.7,0.0259
"  4217 Engelhardt (1988 BO2)",12.2,0.2108
"  4222 Nancita (1988 EK1)",12.2,0.2703
"  4224 Susa (1988 KG)",11.3,0.0648
"  4226 Damiaan (1989 RE)",11.5,0.0555
"  4231 Fireman (1976 WD)",13.3,0.0437
"  4243 Nankivell (1981 GF1)",12.5,0.0493
"  4250 Perun (1984 UG)",11.9,0.0664
"  4266 Waltari (1940 YE)",11.9,0.0528
"  4281 Pounds (1985 TE1)",13.8,0.0361
"  4292 Aoba (1989 VO)",12.1,0.0385
"  4298 Jorgenunez (1941 WA)",12.20,0.0651
"  4313 Bouchet (1979 HK1)",12.6,0.0758
"  4315 Pronik (1979 SL11)",12.3,0.0513
"  4327 Ries (1982 KB1)",11.7,0.0970
"  4332 Milton (1983 RC)",12.7,0.2306
"  4335 Verona (1983 VC7)",13.3,0.2418
"  4342 Freud (1987 QO9)",12.3,0.0920
"  4343 Tetsuya (1988 AC)",12.4,0.0856
"  4349 Tiburcio (1989 LX)",11.70,0.0540
"  4350 Shibecha (1989 UG1)",12.1,0.0487
"  4356 Marathon (9522 P-L)",12.9,0.0665
"  4366 Venikagan (1979 YV8)",12.3,0.0273
"  4368 Pillmore (1981 JC2)",11.4,0.1219
"  4378 Voigt (1988 JF)",11.70,0.2734
"  4379 Snelling (1988 PT1)",11.7,0.0430
"  4381 Uenohara (1989 WD1)",11.2,0.1394
"  4414 Sesostris (4153 P-L)",14.2,0.0304
"  4424 Arkhipova (1967 DB)",11.6,0.0709
"  4431 Holeungholee (1978 WU14)",11.6,0.0925
"  4438 Sykes (1983 WR)",11.50,0.0718
"  4442 Garcia (1985 RB1)",12.8,0.0683
"  4449 Sobinov (1987 RX3)",11.6,0.0649
"  4460 Bihoro (1990 DS)",10.8,0.0444
"  4470 Sergeev-Censkij (1978 QP1)",12.5,0.0912
"  4484 Sif (1987 DD)",12.3,0.0562
"  4493 Naitomitsu (1988 TG1)",11.2,0.1636
"  4500 Pascal (1989 CL)",12.5,0.0813
"  4505 Okamura (1990 DV1)",11.2,0.1714
"  4511 Rembrandt (1935 SP1)",12.0,0.2861
"  4522 Britastra (1980 BM)",12.2,0.0527
"  4540 Oriani (1988 VY1)",12.4,0.1129
"  4547 Massachusetts (1990 KP)",11.5,0.1184
"  4554 Fanynka (1986 UT)",11.6,0.0812
"  4562 Poleungkuk (1979 UD2)",12.8,0.0473
"  4573 Piestany (1986 TP6)",11.6,0.0616
"  4597 Consolmagno (1983 UA1)",12.6,0.0824
"  4609 Pizarro (1988 CT3)",11.7,0.0582
"  4642 Murchie (1990 QG4)",12.3,0.0628
"  4645 Tentaikojo (1990 SP4)",12.6,0.1622
"  4648 Tirion (1931 UE)",13.2,0.0614
"  4672 Takuboku (1988 HB)",11.3,0.0609
"  4695 Mediolanum (1985 RU3)",11.9,0.0560
"  4712 Iwaizumi (1989 QE)",11.3,0.0933
"  4717 Kaneko (1989 WX)",11.20,0.1808
"  4730 Xingmingzhou (1980 XZ)",11.3,0.1022
"  4732 Froeschle (1981 JG)",11.30,0.0599
"  4759 Aretta (1978 VG10)",12.4,0.1255
"  4768 Hartley (1988 PH1)",11.3,0.0398
"  4772 (1989 VM)",11.80,0.0409
"  4783 Wasson (1983 AH1)",13.5,0.0455
"  4790 Petrpravec (1988 PP)",12.9,0.1084
