Name,H,A
"   544 Jetta (1904 OU)",10.0,0.3208
"   546 Herodias (1904 PA)",9.70,0.0534
"   547 Praxedis (1904 PB)",9.52,0.0566
"   549 Jessonda (1904 PK)",11.01,0.1971
"   550 Senta (1904 PL)",9.37,0.2215
"   551 Ortrud (1904 PM)",9.57,0.0426
"   552 Sigelinde (1904 PO)",9.5,0.0510
"   554 Peraga (1905 PS)",9.0,0.0496
"   555 Norma (1905 PT)",10.8,0.0632
"   556 Phyllis (1905 PW)",9.56,0.1853
"   558 Carmen (1905 QB)",9.09,0.1161
"   559 Nanon (1905 QD)",9.4,0.0500
"   560 Delila (1905 QF)",10.9,0.0733
"   561 Ingwelde (1905 QG)",11.21,0.0966
"   562 Salome (1905 QH)",9.95,0.1967
"   563 Suleika (1905 QK)",8.50,0.2477
"   564 Dudu (1905 QM)",10.43,0.0484
"   565 Marbachia (1905 QN)",10.88,0.1033
"   567 Eleutheria (1905 QP)",9.16,0.0439
"   568 Cheruskia (1905 QS)",9.4,0.0535
"   569 Misa (1905 QT)",10.12,0.0297
"   572 Rebekka (1905 RB)",10.94,0.0847
"   573 Recha (1905 RC)",9.4,0.1109
"   574 Reginhild (1905 RD)",12.30,0.3819
"   575 Renate (1905 RE)",10.7,0.1706
"   576 Emanuela (1905 RF)",9.3,0.0428
"   577 Rhea (1905 RH)",9.3,0.1792
"   578 Happelia (1905 RZ)",9.4,0.0769
"   579 Sidonia (1905 SD)",7.85,0.1748
"   582 Olympia (1906 SO)",9.11,0.2128
"   583 Klotilde (1905 SP)",9.01,0.0660
"   584 Semiramis (1906 SY)",8.71,0.1987
"   585 Bilkis (1906 TA)",10.40,0.0362
"   586 Thekla (1906 TC)",9.21,0.0539
"   589 Croatia (1906 TM)",9.0,0.0509
"   590 Tomyris (1906 TO)",9.90,0.1218
"   591 Irmgard (1906 TP)",10.64,0.0364
"   593 Titania (1906 TT)",9.28,0.0604
"   594 Mireille (1906 TW)",12.01,0.3255
"   596 Scheila (1906 UA)",8.90,0.0379
"   597 Bandusia (1906 UB)",9.1,0.2361
"   598 Octavia (1906 UC)",9.53,0.0521
"   599 Luisa (1906 UJ)",8.71,0.1377
"   600 Musa (1906 UM)",10.18,0.2415
"   601 Nerthus (1906 UN)",9.65,0.0454
"   602 Marianna (1906 TE)",8.31,0.0539
"   603 Timandra (1906 TJ)",11.8,0.1354
"   604 Tekmessa (1906 TK)",9.4,0.0870
